HCPC,SEQNUM,RECID,LONG_DESCRIPTION,SHORT_DESCRIPTION,,,,,
G9136,10,3,"Oncology; disease status; non-hodgkin's lymphoma, transformed from original cellular diagnosis to a second cellular classification (for use in a medicare-approved demonstration project)",Onc dx nhl trans to lg bcell,,,,,
G9137,10,3,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; relapsed/refractory (for use in a medicare-approved demonstration project)",Onc dx nhl relapse/refractor,,,,,
G9138,10,3,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; diagnostic evaluation, stage not determined, evaluation of possible relapse or non-response to therapy, or not listed (for use in a medicare-approved demonstration project)",Onc dx nhl stg unknown,,,,,
G9139,10,3,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; extent of disease unknown, staging in progress, not listed (for use in a medicare-approved demonstration project)",Onc dx cml dx status unknown,,,,,
G9140,10,3,"Frontier extended stay clinic demonstration; for a patient stay in a clinic approved for the cms demonstration project; the following measures should be present: the stay must be equal to or greater than 4 hours; weather or other conditions must prevent transfer or the case falls into a category of monitoring and observation cases that are permitted by the rules of the demonstration; there is a maximum frontier extended stay clinic (fesc) visit of 48 hours, except in the case when weather or other conditions prevent transfer; payment is made on each period up to 4 hours, after the first 4 hours",Frontier extended stay demo,,,,,
G9141,10,3,Influenza a (h1n1) immunization administration (includes the physician counseling the patient/family),"Influenza a h1n1,admin w cou",,,,,
G9142,10,3,"Influenza a (h1n1) vaccine, any route of administration","Influenza a h1n1, vaccine",,,,,
G9143,10,3,"Warfarin responsiveness testing by genetic technique using any method, any number of specimen(s)",Warfarin respon genetic test,,,,,
G9147,10,3,"Outpatient intravenous insulin treatment (oivit) either pulsatile or continuous, by any means, guided by the results of measurements for: respiratory quotient; and/or, urine urea nitrogen (uun); and/or, arterial, venous or capillary glucose; and/or potassium concentration",Outpt iv insulin tx any mea,,,,,
G9148,10,3,National committee for quality assurance - level 1 medical home,Medical home level 1,,,,,
G9149,10,3,National committee for quality assurance - level 2 medical home,Medical home level ii,,,,,
G9150,10,3,National committee for quality assurance - level 3 medical home,Medical home level iii,,,,,
G9151,10,3,Mapcp demonstration - state provided services,Mapcp demo state,,,,,
G9152,10,3,Mapcp demonstration - community health teams,Mapcp demo community,,,,,
G9153,10,3,Mapcp demonstration - physician incentive pool,Mapcp demo physician,,,,,
G9156,10,3,Evaluation for wheelchair requiring face to face visit with physician,Evaluation for wheelchair,,,,,
G9157,10,3,"Transesophageal doppler measurement of cardiac output (including probe placement, image acquisition, and interpretation per course of treatment) for monitoring purposes",Transesoph doppl cardiac mon,,,,,
G9158,10,3,"Motor speech functional limitation, discharge status, at discharge from therapy or to end reporting",Motor speech d/c status,,,,,
G9159,10,3,"Spoken language comprehension functional limitation, current status at therapy episode outset and at reporting intervals",Lang comp current status,,,,,
G9160,10,3,"Spoken language comprehension functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Lang comp goal status,,,,,
G9161,10,3,"Spoken language comprehension functional limitation, discharge status, at discharge from therapy or to end reporting",Lang comp d/c status,,,,,
G9162,10,3,"Spoken language expression functional limitation, current status at therapy episode outset and at reporting intervals",Lang express current status,,,,,
G9163,10,3,"Spoken language expression functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Lang express goal status,,,,,
G9164,10,3,"Spoken language expression functional limitation, discharge status at discharge from therapy or to end reporting",Lang express d/c status,,,,,
G9165,10,3,"Attention functional limitation, current status at therapy episode outset and at reporting intervals",Atten current status,,,,,
G9166,10,3,"Attention functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Atten goal status,,,,,
G9167,10,3,"Attention functional limitation, discharge status at discharge from therapy or to end reporting",Atten d/c status,,,,,
G9168,10,3,"Memory functional limitation, current status at therapy episode outset and at reporting intervals",Memory current status,,,,,
G9169,10,3,"Memory functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Memory goal status,,,,,
G9170,10,3,"Memory functional limitation, discharge status at discharge from therapy or to end reporting",Memory d/c status,,,,,
G9171,10,3,"Voice functional limitation, current status at therapy episode outset and at reporting intervals",Voice current status,,,,,
G9172,10,3,"Voice functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Voice goal status,,,,,
G9173,10,3,"Voice functional limitation, discharge status at discharge from therapy or to end reporting",Voice d/c status,,,,,
G9174,10,3,"Other speech language pathology functional limitation, current status at therapy episode outset and at reporting intervals",Speech lang current status,,,,,
G9175,10,3,"Other speech language pathology functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Speech lang goal status,,,,,
G9176,10,3,"Other speech language pathology functional limitation, discharge status at discharge from therapy or to end reporting",Speech lang d/c status,,,,,
G9186,10,3,"Motor speech functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting",Motor speech goal status,,,,,
G9187,10,3,"Bundled payments for care improvement initiative home visit for patient assessment performed by a qualified health care professional for individuals not considered homebound including, but not limited to, assessment of safety, falls, clinical status, fluid status, medication reconciliation/management, patient compliance with orders/plan of care, performance of activities of daily living, appropriateness of care setting; (for use only in the meidcare-approved bundled payments for care improvement initiative); may not be billed for a 30-day period covered by a transitional care management code",Bpci home visit,,,,,
G9188,10,3,"Beta-blocker therapy not prescribed, reason not given",Beta not given no reason,,,,,
G9189,10,3,Beta-blocker therapy prescribed or currently being taken,Beta pres or already taking,,,,,
G9190,10,3,"Documentation of medical reason(s) for not prescribing beta-blocker therapy (eg, allergy, intolerance, other medical reasons)",Medical reason for no beta,,,,,
G9191,10,3,"Documentation of patient reason(s) for not prescribing beta-blocker therapy (eg, patient declined, other patient reasons)",Pt reason for no beta,,,,,
G9192,10,3,"Documentation of system reason(s) for not prescribing beta-blocker therapy (eg, other reasons attributable to the health care system)",System reason for no beta,,,,,
G9193,10,3,Clinician documented that patient with a diagnosis of major depression was not an eligible candidate for antidepressant medication treatment or patient did not have a diagnosis of major depression,Doc not eligible for dep med,,,,,
G9194,10,3,Patient with a diagnosis of major depression documented as being treated with antidepressant medication during the entire 180 day (6 month) continuation treatment phase,Mdd pt treated for 180d,,,,,
G9195,10,3,Patient with a diagnosis of major depression not documented as being treated with antidepressant medication during the entire 180 day (6 months) continuation treatment phase,Mdd pt not treated for 180d,,,,,
G9196,10,3,"Documentation of medical reason(s) for not ordering a first or second generation cephalosporin for antimicrobial prophylaxis (e.g., patients enrolled in clinical trials, patients with documented infection prior to surgical procedure of interest, patients who were receiving antibiotics more than 24 hours prior to surgery [except colon surgery patients taking oral prophylactic antibiotics], patients who were receiving antibiotics within 24 hours prior to arrival [except colon surgery patients taking oral prophylactic antibiotics], other medical reason(s))",Med reason for no ceph,,,,,
G9197,10,3,Documentation of order for first or second generation cephalosporin for antimicrobial prophylaxis,Order for ceph,,,,,
G9198,10,3,"Order for first or second generation cephalosporin for antimicrobial prophylaxis was not documented, reason not given",No order for ceph no reason,,,,,
G9199,10,3,"Venous thromboembolism (vte) prophylaxis not administered the day of or the day after hospital admission for documented reasons (eg, patient is ambulatory, patient expired during inpatient stay, patient already on warfarin or another anticoagulant, other medical reason(s) or eg, patient left against medical advice, other patient reason(s))",Doc reason for no vte,,,,,
G9200,10,3,"Venous thromboembolism (vte) prophylaxis was not administered the day of or the day after hospital admission, reason not given",No reason for no vte,,,,,
G9201,10,3,Venous thromboembolism (vte) prophylaxis administered the day of or the day after hospital admission,Vte given upon admission,,,,,
G9202,10,3,Patients with a positive hepatitis c antibody test,Hep c aby pos,,,,,
G9203,10,3,Rna testing for hepatitis c documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c,Hep c rna done prior to med,,,,,
G9204,10,3,"Rna testing for hepatitis c was not documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c, reason not given",No reason for no hep c rna,,,,,
G9205,10,3,Patient starting antiviral treatmentfor hepatitis c during the measurement period,Hep c antiviral started,,,,,
G9206,10,3,Patient starting antiviral treatment for hepatitis c during the measurement period,Hep c therapy started,,,,,
G9207,10,3,Hepatitis c genotype testing documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c,Hep c genotype prior to med,,,,,
G9208,10,3,"Hepatitis c genotype testing was not documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c, reason not given",No reason for no hep c geno,,,,,
G9209,10,3,Hepatitis c quantitative rna testing documented as performed between 4-12 weeks after the initiation of antiviral treatment,Hep c rna 4to12 wk after med,,,,,
G9210,10,3,"Hepatitis c quantitative rna testing not performed between 4-12 weeks after the initiation of antiviral treatment for documented reason(s) (e.g., patients whose treatment was discontinued during the testing period prior to testing, other medical reasons, patient declined, other patient reasons)",No hepc rna after med docrsn,,,,,
G9211,10,3,"Hepatitis c quantitative rna testing was not documented as performed between 4-12 weeks after the initiation of antiviral treatment, reason not given",No hepc rna after med no rsn,,,,,
G9212,10,3,Dsm-ivtm criteria for major depressive disorder documented at the initial evaluation,Doc of dsm-iv init eval,,,,,
G9213,10,3,"Dsm-iv-tr criteria for major depressive disorder not documented at the initial evaluation, reason not otherwise specified",No doc of dsm-iv,,,,,
G9214,10,3,Cd4+ cell count or cd4+ cell percentage results documented,Cd4 count documented,,,,,
G9215,10,3,"Cd4+ cell count or percentage not documented as performed, reason not given",No cd4 count no reason,,,,,
G9216,10,3,"Pcp prophylaxis was not prescribed at time of diagnosis of hiv, reason not given",No pcp proph at dx no reason,,,,,
G9217,10,3,"Pcp prophylaxis was not prescribed within 3 months of low cd4+ cell count below 200 cells/mm3, reason not given",No pcp proph low cd4 norsn,,,,,
G9218,10,3,"Pcp prophylaxis was not prescribed within 3 months oflow cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%, reason not given",No pcp prop low at cd4 norsn,,,,,
G9219,10,3,"Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of low cd4+ cell count below 200 cells/mm3 for medical reason (i.e., patient's cd4+ cell count above threshold within 3 months after cd4+ cell count below threshold, indicating that the patient's cd4+ levels are within an acceptable range and the patient does not require pcp prophylaxis)",No oder pjp for med reason,,,,,
G9220,10,3,"Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15% for medical reason (i.e., patient's cd4+ cell count above threshold within 3 months after cd4+ cell count below threshold, indicating that the patient's cd4+ levels are within an acceptable range and the patient does not require pcp prophylaxis)",No order for pjp for medrsn,,,,,
G9221,10,3,Pneumocystis jiroveci pneumonia prophlaxis prescribed,Pjp proph prescribed,,,,,
G9222,10,3,Pneumocystis jiroveci pneumonia prophylaxis prescribed wthin 3 months of low cd4+ cell count below 200 cells/mm3,Pjp proph ordered low cd4,,,,,
G9223,10,3,Pneumocystis jiroveci pneumonia prophylaxis prescribed within 3 months of low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%,Pjp proph ordered cd4 low,,,,,
G9224,10,3,"Documentation of medical reason for not performing foot exam (e.g., patient with bilateral foot/leg amputation)",Medrsn no foot exam,,,,,
G9225,10,3,"Foot exam was not performed, reason not given",Norsn no foot exam,,,,,
G9226,10,3,"Foot examination performed (includes examination through visual inspection, sensory exam with 10-g monofilament plus testing any one of the following: vibration using 128-hz tuning fork, pinprick sensation, ankle reflexes, or vibration perception threshold, and pulse exam ? report when all of the 3 components are completed)",3 comp foot exam completed,,,,,
G9227,10,3,"Functional outcome assessment documented, care plan not documented, documentation the patient is not eligible for a care plan",Docrsn no care plan,,,,,
G9228,10,3,"Chlamydia, gonorrhea and syphilis screening results documented (report when results are present for all of the 3 screenings)",Gc chl syp documented,,,,,
G9229,10,3,"Chlamydia, gonorrhea, and syphilis not screened, due to documented reason (patient refusal is the only allowed exclusion)",Ptrsn no gc chl syp test,,,,,
G9230,10,3,"Chlamydia, gonorrhea, and syphilis not screened, reason not given",Norsn for gc chl syp test,,,,,
G9231,10,3,"Documentation of end stage renal disease (esrd), dialysis, renal transplant or pregnancy",Doc esrd dia trans preg,,,,,
G9232,10,3,Clinician treating major depressive disorder did not communicate to clinician treating comorbid condition for specified patient reason,Docrsn no comm comorb,,,,,
G9233,10,3,All quality actions for the applicable measures in the total knee replacement measures group have been performed for this patient,Tkr composite,,,,,
G9234,10,3,I intend to report the total knee replacement measures group,Tkr intent,,,,,
G9235,10,3,All quality actions for the applicable measures in the general surgery measures group have been performed for this patient,Gs mg composite,,,,,
G9236,10,3,All quality actions for the applicable measures in the optimizing patient exposure to ionizing radiation measures group have been performed for this patient,Op rad mg composite,,,,,
G9237,10,3,I intend to report the general surgery measures group,Gs mg intent,,,,,
G9238,10,3,I intend to report the optimizing patient exposure to ionizing radiation measures group,Op rad mg intent,,,,,
G9239,10,3,"Documentation of reasons for patient initiaiting maintenance hemodialysis with a catheter as the mode of vascular access (eg, patient has a maturing avf/avg, time-limited trial of hemodialysis, patients undergoing palliative dialysis, other medical reasons, patient declined avf/avg, other patient reasons, patient followed by reporting nephrologist for fewer than 90 days, other system reasons)",Docrsn for catheter,,,,,
G9240,10,3,Patient whose mode of vascular access is a catheter at the time maintenance hemodialysis is initiated,Doc pt w cath maint dia,,,,,
G9241,10,3,Patient whose mode of vascular access is not a catheter at the time maintenance hemodialysis is initiated,Doc pt w out cath maint dia,,,,,
G9242,10,3,Documentation of viral load equal to or greater than 200 copies/ml or viral load not performed,Doc viral load >=200,,,,,
G9243,10,3,Documentation of viral load less than 200 copies/ml,Doc viral load <200,,,,,
G9244,10,3,Antiretroviral thereapy not prescribed,Antiviral not ordered,,,,,
G9245,10,3,Antiretroviral therapy prescribed,Antiviral ordered,,,,,
G9246,10,3,"Patient did not have at least one medical visit in each 6 month period of the 24 month measurement period, with a minimum of 60 days between medical visits",No med visit in 24mo,,,,,
G9247,10,3,"Patient had at least one medical visit in each 6 month period of the 24 month measurement period, with a minimum of 60 days between medical visits",1 med visit in 24mo,,,,,
G9248,10,3,Patient did not have a medical visit in the last 6 months,No med visit 6mo,,,,,
G9249,10,3,Patient had a medical visit in the last 6 months,Med visit w in 6mo,,,,,
G9250,10,3,Documentation of patient pain brought to a comfortable level within 48 hours from initial assessment,Doc of pain comfort 48hr,,,,,
G9251,10,3,Documentation of patient with pain not brought to a comfortable level within 48 hours from initial assessment,Doc no pain comfort 48hr,,,,,
G9252,10,3,Adenoma(s) or other neoplasm detected during screening colonoscopy,Neo detect scrn colo,,,,,
G9253,10,3,Adenoma(s) or other neoplasm not detected during screening colonoscopy,No neo detect scrn colo,,,,,
G9254,10,3,Documentation of patient discharged to home later than post-operative day 2 following cas,Doc pt dischg >2d,,,,,
G9255,10,3,Documentation of patient discharged to home no later than post operative day 2 following cas,Doc pt dischg <=2d,,,,,
G9256,10,3,Documentation of patient death following cas,Doc death after cas,,,,,
G9257,10,3,Documentation of patient stroke following cas,Doc stroke after cas,,,,,
G9258,10,3,Documentation of patient stroke following cea,Doc stroke after cea,,,,,
G9259,10,3,Documentation of patient survival and absence of stroke following cas,Doc surv no stroke after cas,,,,,
G9260,10,3,Documentation of patient death following cea,Doc death after cea,,,,,
G9261,10,3,Documentation of patient survival and absence of stroke following cea,Doc surv no stroke after cea,,,,,
G9262,10,3,Documentation of patient death in the hospital following endovascular aaa repair,Doc death in hosp aaa repair,,,,,
G9263,10,3,Documentation of patient survival in the hospital following endovascular aaa repair,Doc surv in hosp aaa repair,,,,,
G9264,10,3,"Documentation of patient receiving maintenance hemodialysis for greater than or equal to 90 days with a catheter for documented reasons (eg, patient is undergoing palliative dialysis with a catheter, patient approved by a qualified transplant program and scheduled to receive a living donor kidney transplant, other medical reasons, patient declined avf/avg, other patient reasons)",Docrsn for cath maint dia,,,,,
G9265,10,3,Patient receiving maintenance hemodialysis for greater than or equal to 90 days with a catheter as the mode of vascular access,Doc cath >90d for maint dia,,,,,
G9266,10,3,Patient receiving maintenance hemodialysis for greater than or equal to 90 days without a catheter as the mode of vascular access,Norsn pt cath >=90d,,,,,
G9267,10,3,Documentation of patient with one or more complications or mortality within 30 days,Doc comp or mort w in 30d,,,,,
G9268,10,3,Documentation of patient with one or more complications within 90 days,Doc comp or mort w in 90d,,,,,
G9269,10,3,Documentation of patient without one or more complications and without mortality within 30 days,Doc no comp or mort w in 30d,,,,,
G9270,10,3,Documentation of patient without one or more complications within 90 days,Doc no comp or mort w in 90d,,,,,
G9271,10,3,Ldl value < 100,Ldl under 100,,,,,
G9272,10,3,Ldl value >= 100,Ldl 100 and over,,,,,
G9273,10,3,Blood pressure has a systolic value of < 140 and a diastolic value of < 90,Sys<140 and dia<90,,,,,
G9274,10,3,Blood pressure has a systolic value of =140 and a diastolic value of = 90 or systolic value < 140 and diastolic value = 90 or systolic value = 140 and diastolic value < 90,Bp out of nrml limits,,,,,
G9275,10,3,Documentation that patient is a current non-tobacco user,Doc of non tobacco user,,,,,
G9276,10,3,Documentation that patient is a current tobacco user,Doc of tobacco user,,,,,
G9277,10,3,"Documentation that the patient is on daily aspirin or anti-platelet or has documentation of a valid contraindication or exception to aspirin/anti-platelet; contraindications/exceptions include anti-coagulant use, allergy to aspirin or anti-platelets, history of gastrointestinal bleed and bleeding disorder; additionally, the following exceptions documented by the physician as a reason for not taking daily aspirin or anti-platelet are acceptable (use of non-steroidal anti-inflammatory agents, documented risk for drug interaction, uncontrolled hypertension defined as >180 systolic or >110 diastolic or gastroesophageal reflux)",Doc daily aspirin or contra,,,,,
G9278,10,3,Documentation that the patient is not on daily aspirin or anti-platelet regimen,Doc no daily aspirin,,,,,
G9279,10,3,Pneumococcal screening performed and documentation of vaccination received prior to discharge,Pne scrn done doc vac done,,,,,
G9280,10,3,"Pneumococcal vaccination not administered prior to discharge, reason not specified",Pne not given norsn,,,,,
G9281,10,3,Screening performed and documentation that vaccination not indicated/patient refusal,Pne scrn done doc not ind,,,,,
G9282,10,3,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., biopsy taken for other purposes in a patient with a history of non-small cell lung cancer or other documented medical reasons)",Doc medrsn no histo type,,,,,
G9283,10,3,Non small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation,Hist type doc on report,,,,,
G9284,10,3,Non small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation,No hist type doc on report,,,,,
G9285,10,3,Specimen site other than anatomic location of lung or is not classified as non small cell lung cancer,Site not small cell lung ca,,,,,
G9286,10,3,Antibiotic regimen prescribed within10 days after onset of symptoms,Antibio rx w in 10d of sympt,,,,,
G9287,10,3,Antibiotic regimen not prescribed within 10 days after onset of symptoms,No antibio w in 10d of sympt,,,,,
G9288,10,3,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., a solitary fibrous tumor in a person with a history of non-small cell carcinoma or other documented medical reasons)",Doc medrsn no hist type rpt,,,,,
G9289,10,3,Non small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation,Doc type nsm lung ca,,,,,
G9290,10,3,Non small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation,No doc type nsm lung ca,,,,,
G9291,10,3,"Specimen site other than anatomic location of lung, is not classified as non small cell lung cancer  or classified as nsclc-nos",Not nsm lung ca,,,,,
G9292,10,3,"Documentation of medical reason(s) for not reporting pt category and a statement on thickness and ulceration and for pt1, mitotic rate (e.g., negative skin biopsies in a patient with a history of melanoma or other documented medical reasons)",Medrsn no pt category,,,,,
G9293,10,3,"Pathology report does not include the pt category and a statement on thickness and ulceration and for pt1, mitotic rate",No pt category on report,,,,,
G9294,10,3,"Pathology report includes the pt category and a statement on thickness and ulceration and for pt1, mitotic rate",Pt cat and thck on report,,,,,
G9295,10,3,Specimen site other than anatomic cutaneous location,Non cutaneous loc,,,,,
G9296,10,3,"Patients with documented shared decision-making including discussion of conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to the procedure",Doc share dec prior proc,,,,,
G9297,10,3,"Shared decision-making including discussion of conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to the procedure, not documented, reason not given",No doc share dec prior proc,,,,,
G9298,10,3,"Patients who are evaluated for venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure (e.g. history of dvt, pe, mi, arrhythmia and stroke)",Eval risk vte card 30d prior,,,,,
G9299,10,3,"Patients who are not evaluated for venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure including (e.g., history of dvt, pe, mi, arrhythmia and stroke, reason not given)",No eval riskk vte card prior,,,,,
G9300,10,3,"Documentation of medical reason(s) for not completely infusing the prophylactic antibiotic prior to the inflation of the proximal tourniquet (e.g., a tourniquet was not used)",Doc medrsn no compl antibio,,,,,
G9301,10,3,Patients who had the prophylactic antibiotic completely infused prior to the inflation of the proximal tourniquet,Doc compl inf antibio,,,,,
G9302,10,3,"Prophylactic antibiotic not completely infused prior to the inflation of the proximal tourniquet, reason not given",Norsn incomp inf antibio,,,,,
G9303,10,3,"Operative report does not identify the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant, reason not given",Norsn no pros info op rpt,,,,,
G9304,10,3,"Operative report identifies the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant",Pros info op rpt,,,,,
G9305,10,3,Intervention for presence of leak of endoluminal contents through an anastomosis not required,No interv req for leak,,,,,
G9306,10,3,Intervention for presence of leak of endoluminal contents through an anastomosis required,Interv req for leak,,,,,
G9307,10,3,"No return to the operating room for a surgical procedure, for any reason, within 30 days of the principal operative procedure",No ret for surg w in 30d,,,,,
G9308,10,3,"Unplanned return to the operating room for a surgical procedure, for any reason, within 30 days of the principal operative procedure",Unplnd ret to surg w in 30d,,,,,
G9309,10,3,No unplanned hospital readmission within 30 days of principal procedure,No unplnd hosp readm in 30d,,,,,
G9310,10,3,Unplanned hospital readmission within 30 days of principal procedure,Unplnd hosp readm in 30d,,,,,
G9311,10,3,No surgical site infection,No surg site infection,,,,,
G9312,10,3,Surgical site infection,Surgical site infection,,,,,
G9313,10,3,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis for documented reason (eg, cystic fibrosis, immotile cilia disorders, ciliary dyskinesia, immune deficiency, prior history of sinus surgery within the past 12 months, and anatomic abnormalities, such as deviated nasal septum, resistant organisms, allergy to medication, recurrent sinusitis, chronic sinusitis, or other reasons)",Docrsn not first line amox,,,,,
G9314,10,3,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis, reason not given",Norsn not first line amox,,,,,
G9315,10,3,"Documentation amoxicillin, with or without clavulanate, prescribed as a first line antibiotic at the time of diagnosis",Doc first line amox,,,,,
G9316,10,3,"Documentation of patient-specific risk assessment with a risk calculator based on multi-institutional clinical data, the specific risk calculator used, and communication of risk assessment from risk calculator with the patient or family",Doc comm risk calc,,,,,
G9317,10,3,"Documentation of patient-specific risk assessment with a risk calculator based on multi-institutional clinical data, the specific risk calculator used, and communication of risk assessment from risk calculator with the patient or family not completed",No doc comm risk calc,,,,,
G9318,10,3,Imaging study named according to standardized nomenclature,Image std nomenclature,,,,,
G9319,10,3,"Imaging study not named according to standardized nomenclature, reason not given",Image not std nomenclature,,,,,
G9320,10,3,"Documentation of medical reason(s) for not naming ct studies according to a standardized nomenclature provided (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",Medrsn no std nomenclature,,,,,
G9321,10,3,Count of previous ct (any type of ct) and cardiac nuclear medicine (myocardial perfusion) studies documented in the 12-month period prior to the current study,Doc count of ct in 12mo,,,,,
G9322,10,3,"Count of previous ct and cardiac nuclear medicine (myocardial perfusion) studies not documented in the 12-month period prior to the current study, reason not given",No doc count of ct in 12mo,,,,,
G9323,10,3,"Documentation of medical reason(s) for not counting previous ct and cardiac nuclear medicine (myocardial perfusion) studies (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",Mdrsn no doc cnt of ct,,,,,
G9324,10,3,"All necessary data elements not included, reason not given",Not all data norsn,,,,,
G9325,10,3,"Ct studies not reported to a radiation dose index registry due to medical reasons (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",Medrsn no ct rpt to reg,,,,,
G9326,10,3,"Ct studies performed not reported to a radiation dose index registry, reason not given",Norsn no ct rpt to reg,,,,,
G9327,10,3,Ct studies performed reported to a radiation dose index registry with all necessary data elements,Ct rpt to reg,,,,,
G9328,10,3,"Dicom format image data availability not documented in final report due to medical reasons (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",Medrsn no dicom format doc,,,,,
G9329,10,3,"Dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study not documented in final report, reason not given",Norsn no dicom format doc,,,,,
G9340,10,3,"Final report documented that dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study",Dicom format doc on rpt,,,,,
G9341,10,3,"Search conducted for prior patient ct studies completed at non-affiliated external healthcare facilities or entities within the past 12-months and are available through a secure, authorized, media-free, shared archive prior to an imaging study being performed",Srch for ct w in 12 mos,,,,,
G9342,10,3,"Search not conducted prior to an imaging study being performed for prior patient ct studies completed at non-affiliated external healthcare facilities or entities within the past 12-months and are available through a secure, authorized, media-free, shared archive, reason not given",No srch for ct in 12mo norsn,,,,,
G9343,10,3,"Due to medical reasons, search not conducted for dicom format images for prior patient ct imaging studies completed at non-affiliated external heatlhcare facilities or entities within the past 12 months that are available through a secure, authorized, media-free, shared archive (e.g., ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",Medrsn no dicom srch,,,,,
G9344,10,3,"Due to system reasons search not conducted for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, media-free, shared archive (e.g., non-affiliated external healthcare facilities or entities does not have archival abilities through a shared archival system)",Sysrsn no dicom srch,,,,,
G9345,10,3,"Follow-up recommendations documented according to recommended guidelines for incidentally detected pulmonary nodules (e.g., follow-up ct imaging studies needed or that no follow-up is needed) based at a minimum on nodule size and patient risk factors",Follow up pulm nod,,,,,
G9346,10,3,"Follow-up recommendations not documented according to recommended guidelines for incidentally detected pulmonary nodules due to medical reasons (e.g., patients with known malignant disease, patients with unexplained fever, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",No follow up pulm nod,,,,,
G9347,10,3,"Follow-up recommendations not documented according to recommended guidelines for incidentally detected pulmonary nodules, reason not given",No follow up pulm nod norsn,,,,,
G9348,10,3,"Ct scan of the paranasal sinuses ordered at the time of diagnosis for documented reasons (eg, persons with sinusitis symptoms lasting at least 7 to 10 days, antibiotic resistance, immunocompromised, recurrent sinusitis, acute frontal sinusitis, acute sphenoid sinusitis, periorbital cellulitis, or other medical)",Docrsn no sinus ct dx,,,,,
G9349,10,3,Documentation of a ct scan of the paranasal sinuses ordered at the time of diagnosis or received within 28 days after date of diagnosis,Doc sinus ct 28d,,,,,
G9350,10,3,Ct scan of the paranasal sinuses not ordered at the time of diagnosis or received within 28 days after date of diagnosis,No doc sinus ct 28d or dx,,,,,
G9351,10,3,More than one ct scan of the paranasal sinuses ordered or received within 90 days after diagnosis,Doc >1 sinus ct w 90d dx,,,,,
G9352,10,3,"More than one ct scan of the paranasal sinuses ordered or received within 90 days after the date of diagnosis, reason not given",Not >1 sinus ct w 90d dx,,,,,
G9353,10,3,"More than one ct scan of the paranasal sinuses ordered or received within 90 days after the date of diagnosis for documented reasons (eg, patients with complications, second ct obtained prior to surgery, other medical reasons)",Medrsn >1 sinus ct w 90d dx,,,,,
